Tow #,lat,lon,pres,temp (use),sal,sigma,fluor,att.coeff.,oxygen_diss,O2_satur,pH,Om-Arag,O2
1,32.53499,-118.18555,1071.5,3.991,34.496,27.395,0.01,0.0064,0.4937,6.789986601,7.510355653,0.529570255,21.46072543
1,32.53499,-118.18556,1071.2,3.991,34.496,27.395,0.01,0.0064,0.4878,6.708842342,7.510008563,0.529615598,21.20425737
1,32.53499,-118.18557,1070.9,3.992,34.496,27.394,0.01,0.0064,0.4878,6.709004805,7.510017819,0.529642196,21.20427801
1,32.53499,-118.18557,1070.9,3.992,34.496,27.394,0.01,0.0064,0.4878,6.709004805,7.510017819,0.529642196,21.20427801
1,32.53498,-118.18558,1070.8,3.993,34.496,27.394,0.01,0.0064,0.4937,6.790315458,7.51037416,0.529623758,21.46074632
1,32.53498,-118.18558,1070.8,3.993,34.495,27.394,0.01,0.0064,0.4937,6.790269577,7.51037416,0.529623758,21.46074632
1,32.53497,-118.18559,1070.6,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53497,-118.18559,1070.5,3.994,34.495,27.394,0.01,0.0064,0.4995,6.870208195,7.510724639,0.529606384,21.7128677
1,32.53497,-118.1856,1070.5,3.994,34.495,27.394,0.01,0.0064,0.4995,6.870208195,7.510724639,0.529606384,21.7128677
1,32.53497,-118.18561,1070.7,3.994,34.495,27.394,0.01,0.0064,0.4995,6.870208195,7.510724639,0.529606384,21.7128677
1,32.53497,-118.18562,1071,3.993,34.496,27.394,0.01,0.0064,0.4996,6.871463648,7.510721272,0.529578718,21.71721462
1,32.53497,-118.18562,1071.2,3.993,34.496,27.394,0.01,0.0064,0.4996,6.871463648,7.510721272,0.529578718,21.71721462
1,32.53497,-118.18563,1071.2,3.992,34.496,27.394,0.01,0.0064,0.4937,6.790151029,7.51036492,0.529597004,21.46074632
1,32.53496,-118.18564,1071,3.992,34.496,27.394,0.01,0.0052,0.4878,6.709004805,7.510017819,0.529642196,21.20427801
1,32.53496,-118.18564,1070.5,3.993,34.495,27.394,0.01,0.0064,0.4877,6.707746552,7.510021164,0.529669562,21.19993109
1,32.53495,-118.18565,1070.2,3.993,34.495,27.394,0.01,0.0064,0.4877,6.707746552,7.510021164,0.529669562,21.19993109
1,32.53495,-118.18566,1070,3.993,34.495,27.394,0.01,0.0064,0.4936,6.788894193,7.510368276,0.529624521,21.45639939
1,32.53494,-118.18566,1070.1,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53494,-118.18567,1070.2,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53495,-118.18568,1070.4,3.993,34.495,27.394,0.01,0.0076,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53495,-118.18568,1070.5,3.993,34.495,27.394,0.01,0.0076,0.4936,6.788894193,7.510368276,0.529624521,21.45639939
1,32.53495,-118.18569,1070.6,3.993,34.495,27.394,0.01,0.0064,0.4877,6.707746552,7.510021164,0.529669562,21.19993109
1,32.53495,-118.1857,1070.5,3.993,34.495,27.394,0.01,0.0064,0.4877,6.707746552,7.510021164,0.529669562,21.19993109
1,32.53494,-118.1857,1070.4,3.993,34.495,27.394,0.01,0.0064,0.4818,6.626598911,7.509674052,0.529714602,20.94346278
1,32.53493,-118.18571,1070.2,3.993,34.495,27.394,0.01,0.0064,0.4877,6.707746552,7.510021164,0.529669562,21.19993109
1,32.53493,-118.18572,1070.1,3.993,34.495,27.394,0.01,0.0064,0.4877,6.707746552,7.510021164,0.529669562,21.19993109
1,32.53492,-118.18572,1070,3.993,34.495,27.394,0.01,0.0076,0.4936,6.788894193,7.510368276,0.529624521,21.45639939
1,32.53492,-118.18573,1070,3.993,34.495,27.394,0.01,0.0064,0.4936,6.788894193,7.510368276,0.529624521,21.45639939
1,32.53492,-118.18574,1070,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53492,-118.18574,1070,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53492,-118.18575,1069.8,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53492,-118.18576,1069.5,3.993,34.495,27.394,0.01,0.0064,0.495,6.808149566,7.510450642,0.529613834,21.51725628
1,32.53492,-118.18577,1069.3,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53491,-118.18577,1069.4,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53491,-118.18578,1069.8,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
1,32.53491,-118.18578,1070.1,3.993,34.495,27.394,0.01,0.0064,0.4995,6.870041835,7.510715389,0.529579481,21.7128677
