       PrDM      T090C      C0S/m Sbeox0ML/L       FlSP     Upoly0     Upoly1      Sal00  Sigma-t00 Potemp090C       SvDM
      3.000    24.2489   5.215300    4.10660 1.0207e+00  1.5993860  1.9667599    34.8975    23.4898    24.2483    1532.48
      4.000    24.3286   5.223941    4.13523 1.1900e+00  1.5970799  1.9709336    34.8999    23.4679    24.3277    1532.69
      5.000    24.3054   5.221712    4.16764 1.1132e+00  1.5975527  1.9718500    34.9009    23.4755    24.3043    1532.65
      6.000    24.1772   5.207431    4.12911 1.0894e+00  1.5996677  1.9674718    34.8931    23.5078    24.1760    1532.35
      7.000    24.1309   5.202287    4.14255 1.1528e+00  1.6029973  1.9598626    34.8902    23.5193    24.1294    1532.24
      8.000    23.9215   5.180345    4.10843 1.3298e+00  1.6083066  1.9471058    34.8882    23.5800    23.9198    1531.74
      9.000    23.9042   5.178488    4.11421 1.3552e+00  1.6096617  1.9438037    34.8874    23.5844    23.9023    1531.72
     10.000    23.7265   5.159180    4.11588 1.3531e+00  1.6118748  1.9389320    34.8801    23.6312    23.7244    1531.28
     11.000    23.6390   5.149824    4.12019 1.5382e+00  1.6147545  1.9337548    34.8774    23.6549    23.6368    1531.08
     12.000    23.6353   5.149726    4.09837 1.4592e+00  1.6170325  1.9289406    34.8792    23.6574    23.6329    1531.09
     13.000    23.4861   5.133825    4.12666 1.4490e+00  1.6178164  1.9274660    34.8753    23.6980    23.4835    1530.73
     14.000    23.4859   5.133796    4.13642 1.4922e+00  1.6194725  1.9222082    34.8749    23.6978    23.4830    1530.74
     15.000    23.4234   5.126943    4.11627 1.5337e+00  1.6201238  1.9201390    34.8715    23.7135    23.4203    1530.60
     16.000    23.2187   5.104857    4.10245 1.5727e+00  1.6240535  1.9171421    34.8639    23.7672    23.2154    1530.09
     17.000    23.1121   5.093364    4.07895 1.6168e+00  1.6306443  1.9055812    34.8596    23.7948    23.1086    1529.83
     18.000    23.0319   5.084503    4.05713 1.5759e+00  1.6345070  1.8950706    34.8547    23.8142    23.0283    1529.64
     19.000    22.9085   5.070997    4.06089 1.6028e+00  1.6395143  1.8872121    34.8482    23.8448    22.9047    1529.34
     20.000    22.8213   5.061685    4.05579 1.6938e+00  1.6457122  1.8816279    34.8452    23.8676    22.8172    1529.13
     21.000    22.7547   5.055043    4.02248 1.6518e+00  1.6515657  1.8733830    34.8465    23.8876    22.7504    1528.98
     22.000    22.6939   5.049455    4.02488 1.5264e+00  1.6546815  1.8662286    34.8513    23.9086    22.6895    1528.84
     23.000    22.6441   5.045130    4.01218 1.5026e+00  1.6577785  1.8596243    34.8572    23.9273    22.6394    1528.74
     24.000    22.5782   5.039424    3.97194 1.6258e+00  1.6601960  1.8553314    34.8651    23.9520    22.5734    1528.59
     25.000    22.3200   5.012836    3.93544 1.5983e+00  1.6686317  1.8437017    34.8642    24.0246    22.3150    1527.94
     26.000    22.2080   5.000706    3.90319 1.6358e+00  1.6774876  1.8348505    34.8588    24.0521    22.2029    1527.66
     27.000    22.1591   4.995484    3.91982 1.5842e+00  1.6844012  1.8244965    34.8569    24.0645    22.1537    1527.55
     28.000    22.0952   4.988620    3.92786 1.6667e+00  1.6881259  1.8161986    34.8541    24.0803    22.0896    1527.40
     29.000    21.9621   4.975900    3.84275 1.7839e+00  1.6934147  1.8084506    34.8609    24.1227    21.9564    1527.07
     30.000    21.6578   4.942622    3.74915 1.7672e+00  1.7055433  1.7946219    34.8436    24.1942    21.6519    1526.27
     31.000    21.4294   4.915500    3.68851 1.7670e+00  1.7352784  1.7716361    34.8130    24.2341    21.4234    1525.65
     32.000    21.1453   4.881270    3.56604 1.8123e+00  1.7572946  1.7537426    34.7705    24.2796    21.1391    1524.86
     33.000    20.6534   4.829979    3.37197 1.7202e+00  1.7827980  1.7290359    34.7592    24.4040    20.6472    1523.54
     34.000    20.0058   4.766466    3.16153 1.9063e+00  1.8326670  1.6953981    34.7754    24.5886    19.9995    1521.80
     35.000    19.3604   4.703509    3.01375 1.8878e+00  1.9199520  1.6321472    34.7926    24.7699    19.3541    1520.03
     36.000    18.8950   4.658293    2.89867 1.8230e+00  1.9716583  1.5966211    34.8055    24.8992    18.8886    1518.75
     37.000    18.4570   4.615951    2.73276 1.8748e+00  2.0100022  1.5783144    34.8186    25.0196    18.4505    1517.52
     38.000    18.1732   4.588617    2.67071 1.9795e+00  2.0496613  1.5535827    34.8273    25.0970    18.1667    1516.73
     39.000    17.9951   4.571722    2.61635 2.1485e+00  2.0751014  1.5356742    34.8347    25.1466    17.9884    1516.23
     40.000    17.7664   4.550233    2.57075 1.9642e+00  2.1022847  1.5066588    34.8459    25.2113    17.7596    1515.59
     41.000    17.4551   4.520968    2.49070 2.0266e+00  2.1259873  1.4861679    34.8608    25.2984    17.4483    1514.71
     42.000    17.2859   4.505616    2.47469 2.0474e+00  2.1453719  1.4688050    34.8735    25.3488    17.2789    1514.24
     43.000    17.2189   4.499581    2.46666 1.9667e+00  2.1578833  1.4604118    34.8786    25.3689    17.2118    1514.06
     44.000    17.1942   4.497658    2.47061 1.8527e+00  2.1648057  1.4464370    34.8829    25.3780    17.1869    1514.01
     45.000    17.1315   4.491888    2.46446 1.8720e+00  2.1673971  1.4449487    34.8865    25.3958    17.1241    1513.84
     46.000    17.0284   4.482628    2.43881 1.9525e+00  2.1726974  1.4368791    34.8949    25.4268    17.0208    1513.56
     47.000    16.9769   4.478052    2.44794 1.9210e+00  2.1764812  1.4303102    34.8992    25.4424    16.9692    1513.42
     48.000    16.8731   4.468739    2.44062 1.8367e+00  2.1802517  1.4204324    34.9076    25.4734    16.8653    1513.14
     49.000    16.7949   4.461711    2.43793 1.8187e+00  2.1833807  1.4091595    34.9137    25.4966    16.7869    1512.93
     50.000    16.7555   4.458232    2.43872 1.7722e+00  2.1851275  1.4060050    34.9172    25.5086    16.7473    1512.83
     51.000    16.6990   4.453224    2.44115 1.7912e+00  2.1865432  1.3985232    34.9221    25.5256    16.6907    1512.68
     52.000    16.6365   4.447606    2.45564 1.7472e+00  2.1877760  1.3939711    34.9268    25.5439    16.6281    1512.51
     53.000    16.5660   4.441440    2.45759 1.7934e+00  2.1885316  1.3902943    34.9337    25.5657    16.5575    1512.32
     54.000    16.5225   4.437620    2.44835 1.7809e+00  2.1883624  1.3835254    34.9378    25.5790    16.5138    1512.21
     55.000    16.4930   4.435027    2.46686 1.6761e+00  2.1885466  1.3783131    34.9403    25.5878    16.4842    1512.14
     56.000    16.4342   4.429760    2.47123 1.8375e+00  2.1891276  1.3762122    34.9450    25.6051    16.4252    1511.98
     57.000    16.3473   4.422043    2.45975 1.6832e+00  2.1895738  1.3694865    34.9525    25.6311    16.3382    1511.74
     58.000    16.3132   4.419087    2.48257 1.6535e+00  2.1885379  1.3600482    34.9558    25.6415    16.3040    1511.66
     59.000    16.2480   4.413246    2.49139 1.6407e+00  2.1887971  1.3565726    34.9610    25.6606    16.2386    1511.48
     60.000    16.1852   4.407679    2.48259 1.6055e+00  2.1885065  1.3470237    34.9664    25.6793    16.1756    1511.31
     61.000    16.0914   4.399221    2.48597 1.5310e+00  2.1893172  1.3431667    34.9734    25.7062    16.0817    1511.05
     62.000    16.0066   4.391671    2.51295 1.5291e+00  2.1891637  1.3341793    34.9805    25.7311    15.9969    1510.81
     63.000    15.9343   4.385138    2.52825 1.3429e+00  2.1895124  1.3284830    34.9856    25.7516    15.9244    1510.61
     64.000    15.8495   4.377445    2.51719 1.3196e+00  2.1908237  1.3237738    34.9915    25.7754    15.8394    1510.37
     65.000    15.7364   4.367418    2.52134 1.2730e+00  2.1920538  1.3172404    35.0015    25.8088    15.7262    1510.05
     66.000    15.6337   4.358633    2.54721 1.2477e+00  2.1899001  1.3048461    35.0133    25.8411    15.6235    1509.76
     67.000    15.4879   4.346117    2.57229 9.6828e-01  2.1885158  1.2975088    35.0299    25.8867    15.4775    1509.34
     68.000    15.4290   4.341434    2.59668 8.1714e-01  2.1835607  1.2908441    35.0398    25.9075    15.4185    1509.19
     69.000    15.4184   4.341351    2.63756 7.9702e-01  2.1751937  1.2871542    35.0481    25.9162    15.4078    1509.18
     70.000    15.4171   4.341903    2.64519 7.8163e-01  2.1657794  1.2846535    35.0538    25.9209    15.4064    1509.20
     71.000    15.4153   4.342103    2.64950 7.6124e-01  2.1627885  1.2842971    35.0568    25.9236    15.4044    1509.21
     72.000    15.4153   4.342603    2.66179 6.5860e-01  2.1594489  1.2838756    35.0609    25.9269    15.4042    1509.23
     73.000    15.4179   4.343339    2.69889 6.8079e-01  2.1520237  1.2806123    35.0648    25.9293    15.4067    1509.26
     74.000    15.3991   4.342682    2.74650 6.4205e-01  2.1463434  1.2795200    35.0753    25.9415    15.3878    1509.23
     75.000    15.3337   4.336110    2.73779 5.4752e-01  2.1394938  1.2770668    35.0738    25.9550    15.3223    1509.04
     76.000    15.2736   4.329792    2.71857 5.3543e-01  2.1443495  1.2706380    35.0700    25.9655    15.2619    1508.86
     77.000    15.2111   4.323502    2.69749 5.6228e-01  2.1500242  1.2642663    35.0684    25.9781    15.1994    1508.68
     78.000    15.1712   4.319392    2.69547 5.2279e-01  2.1557185  1.2597102    35.0665    25.9855    15.1593    1508.57
     79.000    15.1495   4.316985    2.66713 5.2114e-01  2.1582557  1.2573977    35.0637    25.9881    15.1374    1508.52
     80.000    15.1307   4.315250    2.67151 4.6591e-01  2.1597648  1.2572356    35.0643    25.9927    15.1186    1508.47
     81.000    15.0972   4.311793    2.65561 4.6080e-01  2.1627411  1.2559573    35.0625    25.9988    15.0849    1508.38
     82.000    15.0811   4.310364    2.65118 4.7735e-01  2.1671717  1.2528620    35.0636    26.0031    15.0686    1508.35
     83.000    15.0658   4.308901    2.65483 4.7044e-01  2.1694838  1.2501086    35.0635    26.0064    15.0533    1508.32
     84.000    15.0260   4.304502    2.63598 4.3348e-01  2.1727257  1.2484422    35.0588    26.0116    15.0133    1508.20
     85.000    14.9824   4.300036    2.62274 3.9503e-01  2.1763015  1.2460526    35.0568    26.0197    14.9696    1508.08
     86.000    14.9591   4.298110    2.61743 3.8689e-01  2.1803104  1.2436576    35.0598    26.0271    14.9461    1508.02
