       PrDM      T090C      C0S/m Sbeox0ML/L       FlSP     Upoly0     Upoly1      Sal00  Sigma-t00 Potemp090C       SvDM      DepSM
      6.000    27.3382   5.620327    3.86263 3.5756e-01  0.0782768  0.0921044    35.4784    22.9695    27.3368    1540.38      5.967
      7.000    27.3401   5.620568    3.85407 3.5721e-01  0.0840354  0.0893839    35.4784    22.9689    27.3385    1540.39      6.961
      8.000    27.3458   5.621281    3.85908 3.7182e-01  0.0756876  0.0841215    35.4788    22.9674    27.3439    1540.42      7.956
      9.000    27.3303   5.619618    3.84304 4.0925e-01  0.0835657  0.0872082    35.4785    22.9721    27.3282    1540.40      8.950
     10.000    27.3204   5.618533    3.84592 4.1354e-01  0.0894003  0.0818845    35.4780    22.9749    27.3181    1540.40      9.945
     11.000    27.3000   5.616250    3.84539 4.5962e-01  0.0884751  0.0942974    35.4770    22.9808    27.2974    1540.37     10.939
     12.000    27.3053   5.616981    3.85080 5.2462e-01  0.0930583  0.0831578    35.4778    22.9797    27.3025    1540.40     11.934
     13.000    27.2955   5.615971    3.85655 5.5255e-01  0.0809543  0.0855175    35.4778    22.9828    27.2925    1540.39     12.928
     14.000    27.2824   5.614576    3.87186 6.0703e-01  0.0886622  0.0889510    35.4775    22.9868    27.2792    1540.38     13.923
     15.000    27.2722   5.613517    3.87009 6.2623e-01  0.0839374  0.0918663    35.4774    22.9900    27.2688    1540.37     14.917
     16.000    27.2672   5.612995    3.88448 6.2739e-01  0.0881672  0.0907282    35.4772    22.9915    27.2635    1540.37     15.911
     17.000    27.2592   5.612129    3.89600 6.2845e-01  0.0901636  0.0892713    35.4768    22.9938    27.2553    1540.37     16.906
     18.000    27.2585   5.612076    3.91057 6.7761e-01  0.0875467  0.0894411    35.4767    22.9939    27.2543    1540.39     17.900
     19.000    27.2569   5.611941    3.91375 7.0354e-01  0.0884159  0.0904409    35.4766    22.9944    27.2525    1540.40     18.895
     20.000    27.2556   5.611832    3.92637 7.2723e-01  0.0867750  0.0934578    35.4765    22.9947    27.2510    1540.41     19.889
     21.000    27.2541   5.611701    3.92597 7.2603e-01  0.0916374  0.0933119    35.4764    22.9951    27.2493    1540.43     20.884
     22.000    27.2493   5.611190    3.93412 7.4156e-01  0.0859795  0.0889007    35.4761    22.9965    27.2442    1540.43     21.878
     23.000    27.2472   5.610995    3.93847 7.8443e-01  0.0877429  0.0861345    35.4760    22.9971    27.2419    1540.44     22.872
     24.000    27.2430   5.610550    3.92602 8.0180e-01  0.0855494  0.0877574    35.4758    22.9982    27.2374    1540.45     23.867
     25.000    27.2418   5.610446    3.93507 8.0703e-01  0.0905756  0.0897723    35.4757    22.9985    27.2360    1540.46     24.861
     26.000    27.2421   5.610535    3.94703 8.1748e-01  0.0891359  0.0869499    35.4757    22.9984    27.2361    1540.48     25.856
     27.000    27.2409   5.610452    3.95095 8.7415e-01  0.0863676  0.0878789    35.4758    22.9989    27.2346    1540.49     26.850
     28.000    27.2401   5.610393    3.95549 8.9329e-01  0.0895715  0.0882595    35.4756    22.9991    27.2336    1540.51     27.844
     29.000    27.2399   5.610415    3.96961 8.8007e-01  0.0895304  0.0939846    35.4756    22.9991    27.2332    1540.52     28.839
     30.000    27.2409   5.610584    3.95267 8.7413e-01  0.0874331  0.0881693    35.4757    22.9989    27.2340    1540.54     29.833
     31.000    27.2351   5.609962    3.96135 9.6705e-01  0.0948259  0.0878173    35.4754    23.0005    27.2280    1540.54     30.827
     32.000    27.2340   5.609872    3.95661 9.6051e-01  0.0905228  0.0856912    35.4753    23.0008    27.2266    1540.56     31.822
     33.000    27.2345   5.609970    3.96040 9.5707e-01  0.0901399  0.0910426    35.4753    23.0006    27.2269    1540.57     32.816
     34.000    27.2327   5.609773    3.95738 9.8216e-01  0.0885090  0.0922248    35.4750    23.0010    27.2248    1540.58     33.810
     35.000    27.2324   5.609789    3.95847 9.9206e-01  0.0914781  0.0939850    35.4750    23.0010    27.2243    1540.60     34.805
     36.000    27.2314   5.609730    3.94758 1.0040e+00  0.0937113  0.0933003    35.4751    23.0015    27.2230    1540.61     35.799
     37.000    27.2295   5.609554    3.93666 1.0522e+00  0.0827670  0.0889570    35.4749    23.0019    27.2210    1540.63     36.793
     38.000    27.2272   5.609317    3.94136 1.0594e+00  0.0862985  0.0843810    35.4748    23.0025    27.2184    1540.64     37.788
     39.000    27.2264   5.609253    3.96167 1.1678e+00  0.0868874  0.0924410    35.4746    23.0027    27.2173    1540.65     38.782
     40.000    27.2275   5.609433    3.94859 1.1179e+00  0.0973539  0.0892057    35.4747    23.0024    27.2182    1540.67     39.776
     41.000    27.2259   5.609269    3.94750 1.0875e+00  0.0864416  0.0935022    35.4745    23.0028    27.2164    1540.68     40.771
     42.000    27.2251   5.609222    3.95201 1.0812e+00  0.0932492  0.0931297    35.4745    23.0030    27.2154    1540.70     41.765
     43.000    27.2258   5.609324    3.94605 1.1322e+00  0.0883815  0.0922762    35.4744    23.0027    27.2158    1540.71     42.759
     44.000    27.2236   5.609105    3.94724 1.1136e+00  0.0801636  0.0957781    35.4742    23.0032    27.2134    1540.72     43.754
     45.000    27.2238   5.609156    3.94274 1.1687e+00  0.0923775  0.0882932    35.4741    23.0031    27.2134    1540.74     44.748
     46.000    27.2237   5.609185    3.94820 1.3169e+00  0.0873856  0.0879019    35.4740    23.0031    27.2131    1540.76     45.742
     47.000    27.2234   5.609186    3.95293 1.1185e+00  0.0895349  0.0923761    35.4740    23.0032    27.2125    1540.77     46.736
     48.000    27.2225   5.609127    3.96126 1.1738e+00  0.0889309  0.0909249    35.4739    23.0034    27.2114    1540.79     47.731
     49.000    27.2225   5.609156    3.95242 1.1405e+00  0.0893057  0.0891822    35.4738    23.0033    27.2112    1540.80     48.725
     50.000    27.2163   5.608414    3.93542 1.1281e+00  0.0855191  0.0954576    35.4729    23.0047    27.2047    1540.80     49.719
     51.000    27.2134   5.608073    3.92877 1.1249e+00  0.0824284  0.0907444    35.4724    23.0052    27.2016    1540.81     50.714
     52.000    27.2106   5.607765    3.93547 1.1338e+00  0.0889209  0.0898415    35.4720    23.0058    27.1986    1540.82     51.708
     53.000    27.2118   5.607932    3.92447 1.1442e+00  0.0860169  0.0919605    35.4720    23.0054    27.1996    1540.84     52.702
     54.000    27.2059   5.607262    3.91961 1.1021e+00  0.0859952  0.0903793    35.4714    23.0068    27.1934    1540.84     53.696
     55.000    27.2009   5.606664    3.90769 1.0958e+00  0.0895691  0.0863028    35.4707    23.0079    27.1882    1540.85     54.691
     56.000    27.1894   5.605287    3.89835 1.1000e+00  0.0925773  0.0941132    35.4693    23.0106    27.1764    1540.83     55.685
     57.000    27.1865   5.605046    3.89142 1.1274e+00  0.0948519  0.0947408    35.4695    23.0117    27.1733    1540.84     56.679
     58.000    27.1400   5.599162    3.85312 1.0497e+00  0.0883263  0.0929596    35.4626    23.0214    27.1266    1540.75     57.673
     59.000    27.1414   5.599249    3.86528 1.0881e+00  0.0936436  0.0911500    35.4619    23.0204    27.1278    1540.77     58.668
     60.000    27.1277   5.597710    3.84942 1.0610e+00  0.0855925  0.0923467    35.4610    23.0242    27.1138    1540.75     59.662
     61.000    27.1141   5.595925    3.84808 1.0481e+00  0.0957660  0.0908550    35.4583    23.0265    27.1001    1540.74     60.656
     62.000    27.1274   5.597575    3.85576 1.0470e+00  0.0873124  0.0930922    35.4597    23.0232    27.1131    1540.78     61.650
     63.000    27.1217   5.596997    3.85712 1.0084e+00  0.0924314  0.0901924    35.4596    23.0250    27.1072    1540.79     62.644
     64.000    27.1230   5.597176    3.85241 1.0602e+00  0.0909274  0.0945071    35.4595    23.0245    27.1083    1540.81     63.639
     65.000    27.1144   5.596171    3.83711 1.1225e+00  0.0891349  0.0915272    35.4586    23.0266    27.0994    1540.80     64.633
     66.000    27.1016   5.594611    3.83295 1.0246e+00  0.0914292  0.0930585    35.4569    23.0294    27.0864    1540.79     65.627
     67.000    27.0916   5.593366    3.82757 9.5298e-01  0.0917921  0.0928160    35.4553    23.0315    27.0762    1540.78     66.621
     68.000    27.0917   5.593449    3.82285 9.8247e-01  0.0903018  0.0971659    35.4556    23.0316    27.0760    1540.79     67.615
     69.000    27.0767   5.591703    3.82051 1.0090e+00  0.0915900  0.0919905    35.4542    23.0354    27.0608    1540.78     68.609
     70.000    27.0718   5.591066    3.81726 9.9321e-01  0.0878002  0.0933770    35.4531    23.0361    27.0557    1540.78     69.604
     71.000    27.0672   5.590464    3.80340 8.9354e-01  0.0947087  0.0957672    35.4520    23.0367    27.0509    1540.79     70.598
