       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
      7.000    26.4193   5.535693     2.6161 5.1117e-02  1.6248572  16.685985  0.0953704    35.5750    23.3356    26.4177    1538.42     4.4055
      8.000    26.4160   5.535308     2.6266 4.9907e-02  1.6252383  16.686299  0.0831330    35.5744    23.3361    26.4142    1538.42     4.4424
      9.000    26.4130   5.535040     2.6373 5.0955e-02  1.6256329  16.685007  0.0880262    35.5745    23.3372    26.4110    1538.43     4.4564
     10.000    26.4103   5.534801     2.6322 5.1575e-02  1.6253648  16.683393  0.0887497    35.5746    23.3380    26.4081    1538.44     4.4462
     11.000    26.4138   5.535233     2.6324 5.2341e-02  1.6253484  16.684906  0.0895824    35.5747    23.3370    26.4113    1538.47     4.4521
     12.000    26.4161   5.535536     2.6327 5.1788e-02  1.6255926  16.689314  0.0911782    35.5748    23.3364    26.4134    1538.49     4.4518
     13.000    26.4173   5.535717     2.6308 5.4166e-02  1.6253960  16.690339  0.0925195    35.5749    23.3361    26.4144    1538.51     4.4538
     14.000    26.4118   5.535160     2.6350 5.2001e-02  1.6253770  16.688021  0.0787407    35.5748    23.3377    26.4086    1538.51     4.4618
     15.000    26.4112   5.535129     2.6385 5.2655e-02  1.6254428  16.686672  0.0867638    35.5747    23.3379    26.4078    1538.52     4.4681
     16.000    26.4120   5.535265     2.6364 5.4262e-02  1.6255589  16.686614  0.0900161    35.5748    23.3377    26.4084    1538.54     4.4659
     17.000    26.4122   5.535342     2.6363 5.3430e-02  1.6254579  16.687419  0.0850434    35.5749    23.3377    26.4084    1538.56     4.4641
     18.000    26.4121   5.535377     2.6346 5.4845e-02  1.6252648  16.686569  0.0884610    35.5748    23.3377    26.4081    1538.58     4.4591
     19.000    26.4117   5.535389     2.6325 5.5208e-02  1.6257066  16.687124  0.0828246    35.5750    23.3379    26.4074    1538.59     4.4551
     20.000    26.4117   5.535417     2.6300 5.8703e-02  1.6258872  16.685572  0.0876953    35.5749    23.3378    26.4072    1538.61     4.4535
     21.000    26.4062   5.534843     2.6315 5.5768e-02  1.6255599  16.680647  0.0894629    35.5746    23.3394    26.4015    1538.61     4.4651
     22.000    26.4005   5.534258     2.6338 5.5315e-02  1.6258933  16.681406  0.0814399    35.5745    23.3410    26.3956    1538.61     4.4627
     23.000    26.3951   5.533643     2.6321 5.8718e-02  1.6256244  16.672953  0.0802294    35.5738    23.3423    26.3899    1538.62     4.4576
     24.000    26.3931   5.533483     2.6290 5.7131e-02  1.6264350  16.672939  0.0901314    35.5740    23.3430    26.3876    1538.63     4.4487
     25.000    26.3777   5.531705     2.6292 5.8378e-02  1.6258785  16.670161  0.0815756    35.5727    23.3469    26.3721    1538.61     4.4636
     26.000    26.1887   5.510468     2.6454 6.0670e-02  1.6274981  16.579653  0.0887692    35.5644    23.4001    26.1828    1538.18     4.5262
     27.000    25.9561   5.485775     2.6567 6.2010e-02  1.6258244  16.503588  0.0823316    35.5647    23.4731    25.9500    1537.66     4.5667
     28.000    25.1594   5.397316     2.6918 6.5185e-02  1.6271826  16.047770  0.0864743    35.5355    23.6969    25.1533    1535.77     4.7091
     29.000    24.8548   5.364499     2.7005 6.3287e-02  1.6175817  15.796003  0.0882318    35.5311    23.7866    24.8486    1535.05     4.7185
     30.000    24.2479   5.295215     2.7189 6.8521e-02  1.6189877  15.505715  0.0856014    35.4916    23.9399    24.2415    1533.56     4.8280
     31.000    24.0530   5.273350     2.7262 6.6284e-02  1.6233339  15.113268  0.0869760    35.4810    23.9898    24.0464    1533.08     4.8466
     32.000    24.0169   5.269805     2.7246 6.7008e-02  1.6216944  15.017700  0.0837076    35.4825    24.0017    24.0102    1533.02     4.8423
     33.000    23.6517   5.229851     2.7291 6.6789e-02  1.6242259  14.804403  0.0862830    35.4701    24.1002    23.6448    1532.11     4.8789
     34.000    23.5290   5.216596     2.7346 6.7792e-02  1.6237994  14.709084  0.0883562    35.4668    24.1338    23.5219    1531.82     4.8965
     35.000    23.5190   5.215494     2.7264 6.9944e-02  1.6243151  14.515696  0.0893204    35.4661    24.1361    23.5118    1531.81     4.8889
     36.000    23.4347   5.205859     2.7298 7.0005e-02  1.6255242  14.425567  0.0898611    35.4596    24.1559    23.4272    1531.61     4.8931
     37.000    23.4165   5.204070     2.7284 6.9910e-02  1.6250877  14.400326  0.0900336    35.4602    24.1617    23.4088    1531.58     4.8948
     38.000    23.3973   5.202058     2.7290 6.9359e-02  1.6251331  14.418186  0.0847190    35.4599    24.1670    23.3894    1531.55     4.8934
     39.000    23.3569   5.197194     2.7253 9.6020e-02  1.6259591  14.373136  0.0908249    35.4547    24.1749    23.3488    1531.46     4.8971
     40.000    23.2249   5.182149     2.7289 7.5658e-02  1.6274637  14.349642  0.0885113    35.4449    24.2059    23.2166    1531.13     4.9132
     41.000    23.1900   5.178585     2.7290 7.6475e-02  1.6280024  14.290963  0.0938977    35.4453    24.2163    23.1816    1531.06     4.9163
     42.000    23.1530   5.174816     2.7272 7.5529e-02  1.6289445  14.222872  0.0824379    35.4456    24.2273    23.1444    1530.99     4.9093
     43.000    23.1206   5.170990     2.7247 8.0444e-02  1.6298083  14.174653  0.0845847    35.4420    24.2339    23.1118    1530.92     4.9133
     44.000    23.1160   5.170517     2.7223 7.6356e-02  1.6299124  14.161950  0.0884312    35.4417    24.2351    23.1070    1530.92     4.9077
     45.000    23.0872   5.167478     2.7228 7.9438e-02  1.6302933  14.134719  0.0843048    35.4411    24.2430    23.0780    1530.86     4.9064
     46.000    23.0693   5.165823     2.7203 7.8638e-02  1.6311972  14.096502  0.0859445    35.4425    24.2492    23.0599    1530.84     4.9057
     47.000    23.0277   5.161151     2.7184 8.0557e-02  1.6316683  14.072070  0.0886372    35.4396    24.2590    23.0181    1530.74     4.9072
     48.000    22.9127   5.148306     2.7172 8.2314e-02  1.6343548  13.976283  0.0858815    35.4329    24.2871    22.9029    1530.46     4.9192
     49.000    22.7626   5.131175     2.7176 8.4890e-02  1.6363693  13.875409  0.0902800    35.4211    24.3214    22.7527    1530.08     4.9297
     50.000    22.7571   5.130621     2.7167 8.3596e-02  1.6368960  13.854705  0.0898950    35.4210    24.3229    22.7469    1530.08     4.9241
     51.000    22.7679   5.132022     2.7115 8.2816e-02  1.6369560  13.825321  0.0871548    35.4227    24.3211    22.7576    1530.13     4.9119
     52.000    22.7008   5.123996     2.7113 8.5348e-02  1.6378294  13.805160  0.0846337    35.4144    24.3340    22.6903    1529.97     4.9245
     53.000    22.6684   5.120496     2.7102 8.8570e-02  1.6384957  13.761655  0.0875297    35.4131    24.3423    22.6577    1529.90     4.9204
     54.000    22.5174   5.102895     2.6995 8.6589e-02  1.6420163  13.583490  0.0910804    35.3982    24.3741    22.5065    1529.51     4.9097
     55.000    22.3904   5.089135     2.7009 8.6817e-02  1.6441847  13.490191  0.0867894    35.3936    24.4067    22.3794    1529.20     4.9287
     56.000    22.3374   5.083798     2.7028 8.6501e-02  1.6454437  13.474967  0.0875865    35.3946    24.4225    22.3262    1529.08     4.9376
     57.000    22.3026   5.080582     2.6952 8.7450e-02  1.6458220  13.472841  0.0903665    35.3974    24.4345    22.2912    1529.00     4.9178
     58.000    22.2648   5.076813     2.6967 9.3063e-02  1.6474301  13.444821  0.0877796    35.3984    24.4459    22.2532    1528.92     4.9300
     59.000    22.2224   5.072066     2.6958 9.5143e-02  1.6485969  13.396539  0.0894372    35.3953    24.4556    22.2107    1528.83     4.9243
     60.000    22.1740   5.066922     2.6904 9.9969e-02  1.6492087  13.359609  0.0869263    35.3940    24.4683    22.1621    1528.72     4.9123
     61.000    22.1909   5.068190     2.6866 9.3931e-02  1.6517097  13.287571  0.0888578    35.3899    24.4604    22.1787    1528.77     4.9113
     62.000    22.0693   5.054847     2.6872 9.4229e-02  1.6531388  13.245978  0.0904710    35.3839    24.4901    22.0570    1528.47     4.9281
     63.000    22.0469   5.052468     2.6872 9.6292e-02  1.6536334  13.215752  0.0860701    35.3832    24.4958    22.0344    1528.42     4.9181
     64.000    22.0393   5.051557     2.6762 9.5681e-02  1.6547275  13.163517  0.0936469    35.3818    24.4969    22.0266    1528.42     4.8998
     65.000    21.8750   5.032949     2.6767 9.6926e-02  1.6571295  13.082928  0.0908043    35.3691    24.5333    21.8622    1527.99     4.9161
