       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
      3.000    11.6397   3.722219     2.8712 1.5973e+00  1.7347231  3.7288225  0.1262768    32.6164    24.8049    11.6393    1492.75     6.5008
      4.000    11.7075   3.728580     2.8628 1.4713e+00  1.7347275  3.7769134  0.1286631    32.6183    24.7940    11.7070    1493.00     6.4817
      5.000    11.7081   3.728675     2.8597 1.4781e+00  1.7340645  3.8083557  0.1329887    32.6183    24.7938    11.7075    1493.02     6.4792
      6.000    11.6754   3.725749     2.8632 1.6585e+00  1.7345973  3.7982272  0.1353160    32.6181    24.7997    11.6746    1492.92     6.4937
      7.000    11.6793   3.726237     2.8622 1.7281e+00  1.7349335  3.7862358  0.1321134    32.6191    24.7997    11.6784    1492.96     6.4884
      8.000    11.6528   3.723734     2.8628 1.6326e+00  1.7350448  3.7759065  0.1314554    32.6176    24.8034    11.6518    1492.88     6.4977
      9.000    11.5935   3.718019     2.8612 1.7926e+00  1.7353092  3.7765210  0.1319051    32.6135    24.8111    11.5924    1492.68     6.5024
     10.000    11.4513   3.704928     2.8634 1.8018e+00  1.7371847  3.7191338  0.1354875    32.6104    24.8345    11.4501    1492.20     6.5352
     11.000    11.1824   3.679825     2.8760 2.1117e+00  1.7390932  3.5730554  0.1355050    32.6010    24.8755    11.1811    1491.26     6.6594
     12.000    11.0376   3.666477     2.8976 2.2879e+00  1.7377617  3.4359332  0.1344049    32.5972    24.8983    11.0362    1490.76     6.7137
     13.000    10.9644   3.660075     2.9040 2.3346e+00  1.7344770  3.3537698  0.1342477    32.5984    24.9121    10.9629    1490.52     6.7043
     14.000    10.7790   3.643785     2.9029 2.4180e+00  1.7340711  3.2667363  0.1361565    32.6012    24.9467    10.7774    1489.88     6.7520
     15.000    10.5566   3.624997     2.9147 2.5270e+00  1.7359856  3.1428478  0.1374749    32.6120    24.9937    10.5549    1489.12     6.8223
     16.000    10.4788   3.617701     2.9186 2.4089e+00  1.7334896  2.9615991  0.1381414    32.6082    25.0040    10.4770    1488.86     6.8236
     17.000    10.2055   3.597428     2.9185 2.5181e+00  1.7320922  2.8819081  0.1352733    32.6494    25.0825    10.2036    1487.94     6.8707
