       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
      7.000    27.4670   5.589209     2.6153 6.0417e-02  1.6215678  17.524117  0.0899764    35.1597    22.6880    27.4654    1540.34     4.3584
      8.000    27.4691   5.589389     2.6168 6.3578e-02  1.6216712  17.531598  0.0859929    35.1591    22.6869    27.4672    1540.36     4.3603
      9.000    27.4694   5.589444     2.6133 6.2582e-02  1.6219602  17.530534  0.0831704    35.1590    22.6867    27.4673    1540.38     4.3551
     10.000    27.4696   5.589505     2.6138 6.0511e-02  1.6212694  17.532758  0.0837968    35.1590    22.6866    27.4673    1540.39     4.3592
     11.000    27.4694   5.589526     2.6115 6.4842e-02  1.6218205  17.532256  0.0845778    35.1590    22.6867    27.4668    1540.41     4.3509
     12.000    27.4692   5.589567     2.6124 7.0073e-02  1.6217724  17.531361  0.0846111    35.1591    22.6869    27.4664    1540.42     4.3538
     13.000    27.4721   5.589773     2.6152 6.3346e-02  1.6217025  17.532821  0.0844422    35.1580    22.6851    27.4691    1540.44     4.3565
     14.000    27.4718   5.589752     2.6158 6.4780e-02  1.6217786  17.532443  0.0869618    35.1578    22.6850    27.4686    1540.46     4.3607
     15.000    27.4723   5.589783     2.6135 6.2668e-02  1.6220014  17.536024  0.0865806    35.1574    22.6846    27.4688    1540.48     4.3501
     16.000    27.4718   5.589805     2.6152 6.6512e-02  1.6220976  17.535950  0.0843261    35.1576    22.6848    27.4681    1540.49     4.3617
     17.000    27.4720   5.589869     2.6178 6.6657e-02  1.6221122  17.536079  0.0864260    35.1576    22.6848    27.4680    1540.51     4.3666
     18.000    27.4730   5.589912     2.6154 6.4144e-02  1.6215920  17.537334  0.0862370    35.1569    22.6840    27.4688    1540.53     4.3647
     19.000    27.4727   5.589937     2.6179 6.3723e-02  1.6218595  17.536511  0.0895972    35.1570    22.6841    27.4683    1540.54     4.3661
     20.000    27.4731   5.589990     2.6086 6.6710e-02  1.6221274  17.538276  0.0856807    35.1567    22.6838    27.4685    1540.56     4.3462
     21.000    27.4730   5.590050     2.6109 6.6446e-02  1.6220820  17.538154  0.0843893    35.1570    22.6840    27.4681    1540.57     4.3494
     22.000    27.4733   5.590097     2.6111 6.6048e-02  1.6220264  17.539101  0.0878154    35.1568    22.6838    27.4682    1540.59     4.3605
     23.000    27.4731   5.590138     2.6131 6.3661e-02  1.6220628  17.538080  0.0867084    35.1569    22.6839    27.4678    1540.61     4.3591
     24.000    27.4737   5.590164     2.6103 6.0083e-02  1.6223393  17.540215  0.0848030    35.1563    22.6832    27.4682    1540.62     4.3504
     25.000    27.4747   5.590165     2.6110 6.3089e-02  1.6219688  17.540857  0.0859599    35.1553    22.6822    27.4689    1540.64     4.3570
     26.000    27.4752   5.590269     2.6098 6.3796e-02  1.6223121  17.542070  0.0828543    35.1553    22.6821    27.4692    1540.66     4.3537
     27.000    27.4749   5.590360     2.6077 6.5829e-02  1.6222942  17.541583  0.0871825    35.1559    22.6825    27.4687    1540.67     4.3509
     28.000    27.4752   5.590351     2.6079 6.5769e-02  1.6223627  17.541607  0.0872482    35.1553    22.6821    27.4687    1540.69     4.3476
     29.000    27.4754   5.590375     2.6099 6.1881e-02  1.6221727  17.541659  0.0865629    35.1550    22.6817    27.4687    1540.70     4.3558
     30.000    27.4755   5.590439     2.6100 6.4074e-02  1.6221655  17.541280  0.0849887    35.1551    22.6818    27.4686    1540.72     4.3589
     31.000    27.4756   5.590501     2.6074 6.4343e-02  1.6223594  17.542988  0.0846629    35.1551    22.6818    27.4684    1540.74     4.3548
     32.000    27.4748   5.590543     2.6112 6.8679e-02  1.6223490  17.543929  0.0849214    35.1558    22.6826    27.4673    1540.75     4.3611
     33.000    27.4691   5.590483     2.6073 6.5749e-02  1.6222140  17.539102  0.0857604    35.1593    22.6870    27.4615    1540.76     4.3481
     34.000    27.4590   5.590202     2.6115 7.0821e-02  1.6220476  17.535636  0.0853669    35.1646    22.6943    27.4512    1540.76     4.3644
     35.000    27.4382   5.589585     2.6088 6.9550e-02  1.6213590  17.526247  0.0861345    35.1756    22.7093    27.4301    1540.74     4.3563
     36.000    27.4010   5.588280     2.6196 7.0849e-02  1.6207960  17.499822  0.0858826    35.1941    22.7352    27.3927    1540.69     4.3803
     37.000    27.3850   5.587850     2.6162 7.3630e-02  1.6204280  17.483303  0.0857160    35.2028    22.7469    27.3764    1540.68     4.3758
     38.000    27.3827   5.587989     2.6180 8.2952e-02  1.6199525  17.477727  0.0855961    35.2052    22.7495    27.3739    1540.70     4.3853
     39.000    27.3234   5.586631     2.6248 8.0286e-02  1.6195958  17.454111  0.0843586    35.2400    22.7948    27.3144    1540.62     4.3995
     40.000    27.2955   5.585774     2.6237 8.9399e-02  1.6188222  17.433526  0.0861221    35.2547    22.8149    27.2862    1540.59     4.4024
     41.000    27.2378   5.582749     2.6353 8.6366e-02  1.6181016  17.398130  0.0838276    35.2765    22.8498    27.2283    1540.50     4.4272
     42.000    27.1886   5.578431     2.6278 7.6047e-02  1.6174967  17.354779  0.0844603    35.2827    22.8703    27.1789    1540.41     4.4192
     43.000    27.1477   5.575539     2.6334 7.2692e-02  1.6170684  17.319093  0.0831219    35.2927    22.8910    27.1378    1540.35     4.4380
