       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
      3.000    11.6040   3.711503     2.8190 2.4910e+00  1.7540677  3.7153709  0.1258132    32.5432    24.7546    11.6036    1492.54     6.3849
      4.000    11.6157   3.712635     2.8202 2.4900e+00  1.7538319  3.7319537  0.1285978    32.5435    24.7527    11.6153    1492.59     6.3798
      5.000    11.6174   3.712822     2.8197 2.5285e+00  1.7541289  3.7357306  0.1273904    32.5435    24.7524    11.6167    1492.62     6.3798
      6.000    11.6064   3.711877     2.8195 2.5755e+00  1.7541877  3.7295669  0.1282458    32.5435    24.7543    11.6057    1492.59     6.3805
      7.000    11.6025   3.711593     2.8190 2.5204e+00  1.7544398  3.7244659  0.1286480    32.5438    24.7553    11.6016    1492.60     6.3753
      8.000    11.5975   3.711031     2.8188 2.6030e+00  1.7544986  3.7107744  0.1281605    32.5423    24.7550    11.5965    1492.60     6.3933
      9.000    11.5526   3.707104     2.8217 2.5831e+00  1.7542287  3.6855111  0.1244259    32.5429    24.7637    11.5515    1492.46     6.4018
     10.000    11.5360   3.705632     2.8220 2.6520e+00  1.7543141  3.6673564  0.1267796    32.5427    24.7666    11.5348    1492.41     6.4010
     11.000    11.4960   3.702016     2.8198 2.7015e+00  1.7548308  3.6411770  0.1263900    32.5421    24.7734    11.4947    1492.29     6.4007
     12.000    11.4482   3.697746     2.8184 2.6724e+00  1.7554188  3.6059157  0.1271935    32.5420    24.7819    11.4468    1492.14     6.4119
     13.000    11.4134   3.694727     2.8185 2.8515e+00  1.7561686  3.5766260  0.1274569    32.5427    24.7887    11.4118    1492.04     6.4054
     14.000    11.3961   3.693196     2.8127 2.8469e+00  1.7565780  3.5746093  0.1282819    32.5425    24.7917    11.3944    1491.99     6.3780
     15.000    11.3724   3.691038     2.8069 2.8697e+00  1.7598826  3.5402121  0.1275502    32.5418    24.7954    11.3706    1491.92     6.3783
     16.000    11.3253   3.686684     2.8021 2.7704e+00  1.7630281  3.5082928  0.1288579    32.5401    24.8026    11.3234    1491.77     6.3625
     17.000    11.2285   3.677769     2.7932 2.7480e+00  1.7670351  3.4430820  0.1293078    32.5375    24.8179    11.2264    1491.45     6.3506
     18.000    11.1337   3.669091     2.7760 2.1894e+00  1.7711255  3.3772937  0.1287979    32.5354    24.8331    11.1315    1491.13     6.2746
     19.000    10.6021   3.620145     2.7427 1.6108e+00  1.7821407  3.1561380  0.1301465    32.5211    24.9148    10.5999    1489.24     6.2616
     20.000     9.6809   3.540747     2.7466 1.5028e+00  1.8007808  2.4664536  0.1327567    32.5463    25.0886     9.6787    1485.96     6.4905
     21.000     9.4091   3.517557     2.7568 1.6304e+00  1.8009214  2.0976122  0.1310981    32.5550    25.1395     9.4069    1484.99     6.5247
     22.000     9.2399   3.503240     2.7549 1.5794e+00  1.8034903  1.8940322  0.1323665    32.5612    25.1713     9.2376    1484.39     6.5270
     23.000     9.0996   3.491345     2.7514 1.5950e+00  1.8054052  1.7208895  0.1308794    32.5659    25.1970     9.0972    1483.89     6.5479
     24.000     8.9443   3.478318     2.7513 1.5293e+00  1.8069004  1.5420560  0.1323889    32.5724    25.2263     8.9418    1483.34     6.5716
     25.000     8.6842   3.457247     2.7533 1.6677e+00  1.8073914  1.4404361  0.1325604    32.5912    25.2809     8.6816    1482.41     6.6140
     26.000     8.1769   3.413226     2.7397 1.5985e+00  1.8110611  1.3561862  0.1330113    32.5962    25.3604     8.1744    1480.52     6.6407
     27.000     7.6643   3.369646     2.7422 1.3699e+00  1.8270981  0.6707383  0.1324669    32.6092    25.4446     7.6618    1478.60     6.7559
     28.000     7.5008   3.355645     2.7454 1.3753e+00  1.8279025  0.4489110  0.1324988    32.6117    25.4694     7.4982    1477.99     6.7794
     29.000     7.4252   3.349220     2.7432 1.3852e+00  1.8290980  0.3146513  0.1336108    32.6129    25.4809     7.4226    1477.71     6.7734
     30.000     7.3687   3.344654     2.7409 1.3192e+00  1.8307692  0.1513509  0.1311118    32.6163    25.4914     7.3660    1477.52     6.7797
     31.000     7.2744   3.337282     2.7390 1.5100e+00  1.8319551  0.0653237  0.1365812    32.6249    25.5111     7.2715    1477.18     6.7818
     32.000     7.1161   3.323655     2.7272 1.3121e+00  1.8342554 -0.0601499  0.1358545    32.6259    25.5334     7.1131    1476.58     6.7440
     33.000     6.7049   3.289452     2.7152 1.0797e+00  1.8435000 -0.3592585  0.1317888    32.6414    25.5999     6.7021    1475.01     6.7882
     34.000     6.2903   3.254248     2.7129 9.5420e-01  1.8537269 -0.7220920  0.1317252    32.6482    25.6585     6.2875    1473.39     6.8676
     35.000     6.1995   3.246441     2.7103 9.7823e-01  1.8560180 -0.8436215  0.1316749    32.6480    25.6697     6.1966    1473.05     6.8717
     36.000     6.1481   3.242411     2.7047 9.0137e-01  1.8568385 -0.8661007  0.1329715    32.6520    25.6793     6.1451    1472.87     6.8671
     37.000     6.0952   3.238089     2.7044 8.2638e-01  1.8601274 -1.0527166  0.1309792    32.6541    25.6875     6.0922    1472.67     6.8837
     38.000     6.0613   3.235266     2.7020 9.2871e-01  1.8608739 -1.0899041  0.1298904    32.6548    25.6922     6.0582    1472.55     6.8642
     39.000     5.9747   3.228079     2.6928 7.8986e-01  1.8634379 -1.1938065  0.1321893    32.6573    25.7048     5.9716    1472.23     6.8421
     40.000     5.8170   3.214961     2.6881 7.5377e-01  1.8677776 -1.3244690  0.1288476    32.6618    25.7275     5.8138    1471.62     6.8598
     41.000     5.7605   3.210114     2.6809 8.4776e-01  1.8688714 -1.3322240  0.1291202    32.6614    25.7340     5.7573    1471.41     6.8485
     42.000     5.6880   3.204142     2.6746 6.9112e-01  1.8729842 -1.4338594  0.1268701    32.6638    25.7445     5.6847    1471.13     6.8462
     43.000     5.6101   3.197754     2.6716 6.3786e-01  1.8761564 -1.5605893  0.1300156    32.6667    25.7560     5.6068    1470.84     6.8587
     44.000     5.5512   3.193103     2.6692 7.5737e-01  1.8769105 -1.5692263  0.1291447    32.6707    25.7661     5.5478    1470.62     6.8541
     45.000     5.4279   3.182617     2.6631 5.7670e-01  1.8806113 -1.6908047  0.1303132    32.6712    25.7808     5.4244    1470.14     6.8613
     46.000     5.3139   3.173119     2.6605 6.1289e-01  1.8840675 -1.7881363  0.1297090    32.6737    25.7959     5.3104    1469.70     6.8671
     47.000     5.2765   3.169891     2.6539 5.4959e-01  1.8864969 -1.8252732  0.1307978    32.6729    25.7996     5.2730    1469.56     6.8521
     48.000     5.2639   3.168800     2.6486 4.6860e-01  1.8893681 -1.9078616  0.1300231    32.6722    25.8004     5.2603    1469.52     6.8327
     49.000     5.2574   3.168299     2.6444 5.0569e-01  1.8913356 -1.9567675  0.1299151    32.6724    25.8013     5.2537    1469.52     6.8300
