       PrDM      T090C      C0S/m       FlSP     Upoly0     Upoly1      Sal00 Sbeox0ML/L  Sigma-t00       SvDM Potemp090C
      3.000    24.2243   5.182741 9.7193e-02  0.0097680  0.0938599    34.6716     4.7751    23.3263    1532.18    24.2237
      4.000    24.2229   5.182597 9.4386e-02  0.0097680  0.0839918    34.6713     4.7714    23.3264    1532.18    24.2221
      5.000    24.2239   5.182732 9.7832e-02  0.0097680  0.0875519    34.6713     4.7692    23.3261    1532.20    24.2228
      6.000    24.2183   5.182136 9.7565e-02  0.0097680  0.0879458    34.6707     4.7692    23.3273    1532.21    24.2171
      7.000    24.2082   5.181369 9.3522e-02  0.0097680  0.0855105    34.6725     4.7711    23.3317    1532.20    24.2067
      8.000    24.2192   5.182469 1.0069e-01  0.0097680  0.0848577    34.6719     4.7683    23.3280    1532.24    24.2175
      9.000    24.2280   5.183513 8.9897e-02  0.0097680  0.0859398    34.6726     4.7704    23.3259    1532.28    24.2261
     10.000    24.2518   5.186003 9.2016e-02  0.0097680  0.0865696    34.6726     4.7681    23.3187    1532.35    24.2497
     11.000    24.2447   5.185293 1.0041e-01  0.0097680  0.0890834    34.6724     4.7671    23.3208    1532.35    24.2424
     12.000    24.2479   5.185629 9.3357e-02  0.0097680  0.0894209    34.6721     4.7650    23.3196    1532.38    24.2454
     13.000    24.1995   5.180547 8.9811e-02  0.0097680  0.0876269    34.6712     4.7661    23.3333    1532.27    24.1968
     14.000    24.1687   5.177120 9.2025e-02  0.0097680  0.0862831    34.6690     4.7598    23.3408    1532.21    24.1657
     15.000    24.0074   5.160419 1.0333e-01  0.0097680  0.0868356    34.6681     4.7789    23.3880    1531.83    24.0042
     16.000    23.9618   5.155906 8.8619e-02  0.0097680  0.0850957    34.6692     4.7784    23.4022    1531.73    23.9585
     17.000    23.9552   5.155347 9.0921e-02  0.0097680  0.0875072    34.6698     4.7827    23.4046    1531.73    23.9516
     18.000    23.9474   5.154630 9.2779e-02  0.0097680  0.0915078    34.6701     4.7816    23.4072    1531.73    23.9437
     19.000    23.9414   5.154107 9.0505e-02  0.0097680  0.0898317    34.6705     4.7795    23.4092    1531.73    23.9374
     20.000    23.9360   5.153630 9.0142e-02  0.0097680  0.0884371    34.6708     4.7811    23.4111    1531.74    23.9318
     21.000    23.9336   5.153460 9.1560e-02  0.0097680  0.0870930    34.6710     4.7816    23.4119    1531.75    23.9292
     22.000    23.9304   5.153194 9.1835e-02  0.0097680  0.0864809    34.6712     4.7755    23.4130    1531.76    23.9258
     23.000    23.9272   5.152937 9.0721e-02  0.0097680  0.0861714    34.6714     4.7810    23.4141    1531.76    23.9224
     24.000    23.9257   5.152832 9.2774e-02  0.0097680  0.0838599    34.6715     4.7790    23.4146    1531.78    23.9207
     25.000    23.9226   5.152564 1.0258e-01  0.0097680  0.0838331    34.6716     4.7840    23.4156    1531.79    23.9173
     26.000    23.9207   5.152445 9.1323e-02  0.0097680  0.0868424    34.6718     4.7763    23.4164    1531.80    23.9152
     27.000    23.9207   5.152511 9.0548e-02  0.0097680  0.0880853    34.6720     4.7766    23.4165    1531.81    23.9150
     28.000    23.9199   5.152503 9.1562e-02  0.0097680  0.0881650    34.6723     4.7812    23.4169    1531.83    23.9140
     29.000    23.9170   5.152282 9.5770e-02  0.0097680  0.0888560    34.6725     4.7819    23.4180    1531.84    23.9109
     30.000    23.9175   5.152487 1.0530e-01  0.0097680  0.0876102    34.6734     4.7820    23.4185    1531.86    23.9112
     31.000    23.9159   5.152423 9.3503e-02  0.0097680  0.0863982    34.6737     4.7800    23.4192    1531.87    23.9095
     32.000    23.9134   5.152259 9.4660e-02  0.0097680  0.0850989    34.6741     4.7805    23.4202    1531.88    23.9067
     33.000    23.8970   5.150444 9.4981e-02  0.0097680  0.0829160    34.6729     4.7771    23.4242    1531.85    23.8901
     34.000    23.7197   5.131999 9.8180e-02  0.0097680  0.0830292    34.6711     4.8032    23.4750    1531.43    23.7126
     35.000    23.6424   5.124538 9.8439e-02  0.0097680  0.0836320    34.6746     4.8140    23.5003    1531.26    23.6351
     36.000    23.6229   5.122735 1.0276e-01  0.0097680  0.0853887    34.6758     4.8179    23.5069    1531.22    23.6154
     37.000    23.5087   5.110739 1.1542e-01  0.0097680  0.0862900    34.6735     4.8345    23.5385    1530.95    23.5011
     38.000    23.3765   5.098057 9.8335e-02  0.0097680  0.0868005    34.6801     4.8527    23.5820    1530.64    23.3687
     39.000    23.3319   5.093441 1.0035e-01  0.0097680  0.0877376    34.6795     4.8584    23.5946    1530.55    23.3239
     40.000    23.2430   5.083030 1.0200e-01  0.0097680  0.0860042    34.6693     4.8747    23.6126    1530.33    23.2348
     41.000    23.1395   5.071033 1.0233e-01  0.0097680  0.0867980    34.6584     4.8924    23.6343    1530.07    23.1311
     42.000    22.8298   5.031734 1.0429e-01  0.0097680  0.0854710    34.5995     4.9657    23.6785    1529.24    22.8213
     43.000    22.4750   4.988922 1.0995e-01  0.0097680  0.0867865    34.5481     5.0322    23.7408    1528.29    22.4664
     44.000    22.2246   4.959688 1.0643e-01  0.0097680  0.0869916    34.5186     5.0783    23.7891    1527.62    22.2159
     45.000    22.0329   4.938054 1.0322e-01  0.0097680  0.0869275    34.5014     5.1129    23.8298    1527.12    22.0240
     46.000    21.9491   4.929740 1.0501e-01  0.0097680  0.0862376    34.5026     5.1344    23.8541    1526.92    21.9401
     47.000    21.9595   4.933283 1.1251e-01  0.0097680  0.0863996    34.5218     5.1279    23.8659    1526.98    21.9502
     48.000    22.0242   4.944383 1.0812e-01  0.0097680  0.0861520    34.5570     5.1075    23.8745    1527.21    22.0147
     49.000    21.9839   4.940529 1.0895e-01  0.0097680  0.0881210    34.5584     5.1004    23.8867    1527.12    21.9743
     50.000    21.6182   4.895145 1.0653e-01  0.0097680  0.0891537    34.4930     5.1563    23.9388    1526.10    21.6084
     51.000    21.6611   4.903603 1.0542e-01  0.0097680  0.0895386    34.5252     5.1603    23.9513    1526.27    21.6511
     52.000    21.6769   4.907895 1.1888e-01  0.0097680  0.0898279    34.5460     5.1593    23.9628    1526.35    21.6668
     53.000    21.7430   4.921091 1.2084e-01  0.0097680  0.0883776    34.5969     5.1408    23.9831    1526.60    21.7327
