CTD,20120906FEGNRIFS
#ORIGINAL_FILE=\CTD\Report\c3100a.asc
#CTD_SAL ax+b   :a=0.981152
#CTD_SAL ax+b   :b=0.659199
# sensor 0 = Frequency  0  temperature, 1549, 06-Oct-09
# sensor 1 = Frequency  1  conductivity, 1245, 15-Oct-09, cpcor = -9.5700e-08
# sensor 2 = Frequency  2  pressure, 53581, 15-jul-1998
# System UpLoad Time = May 10 2010 06:46:35
# NMEA Latitude = 30 59.82 N
# NMEA Longitude = 138 00.00 E
NUMBER_HEADERS=10
EXPOCODE=49SO201005
SECT=138E
STNNBR=  3100CR
CASTNO=1
DATE=20100509
TIME=2140
LATITUDE=30.997
LONGITUDE=138.000
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,
4,2,19.5579,2,34.68545588,2,195.7831719,1
5,2,19.5572,2,34.68594645,2,197.394153,1
6,2,19.5563,2,34.68584834,2,197.6339938,1
7,2,19.5568,2,34.68604457,2,197.6561932,1
8,2,19.5572,2,34.68614268,2,197.4063409,1
9,2,19.5573,2,34.68604457,2,197.6483581,1
10,2,19.5571,2,34.68614268,2,197.7689314,1
11,2,19.5577,2,34.68614268,2,197.777637,1
12,2,19.5575,2,34.68614268,2,197.970032,1
13,2,19.5578,2,34.68614268,2,198.1820146,1
14,2,19.558,2,34.68614268,2,198.0919111,1
15,2,19.5583,2,34.68604457,2,198.2668947,1
16,2,19.5583,2,34.6862408,2,198.4379608,1
17,2,19.5577,2,34.68594645,2,198.373539,1
18,2,19.5566,2,34.68584834,2,198.1576388,1
19,2,19.5567,2,34.68575022,2,198.5019474,1
20,2,19.5577,2,34.68594645,2,198.6351439,1
21,2,19.5526,2,34.68555399,2,198.6521199,1
22,2,19.5476,2,34.68516153,2,198.8279741,1
23,2,19.532,2,34.68427849,2,199.1304955,1
24,2,19.5024,2,34.6836898,2,199.4974388,1
25,2,19.4673,2,34.68486719,2,199.9618854,1
26,2,19.4505,2,34.68604457,2,200.2913943,1
27,2,19.4474,2,34.68614268,2,200.3518986,1
28,2,19.4409,2,34.6862408,2,200.179962,1
29,2,19.4089,2,34.68555399,2,200.4359082,1
