CTD,20150316FEGNRIFS
#ORIGINAL_FILE=\Report\C3300.asc
#CTD_SAL ax+b   :a=1.0003361723921
#CTD_SAL ax+b   :b=-0.0131915369898792
# System UpLoad Time = Jan 26 2015 06:58:42
# NMEA Latitude = 32 59.99 N
# NMEA Longitude = 138 00.06 E
# Temperature SN = 1550
# Conductivity SN = 1244
# SBE43 Oxygen SN = 0357
# RINKO Oxygen SN = 0155
#1-3 dbar were removed because of error values.
NUMBER_HEADERS=10
EXPOCODE=49SO201501
SECT=138E
STNNBR=  C3300
CASTNO=1
DATE=20150125
TIME=2158
LATITUDE=32.99983
LONGITUDE=138.001
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,RINKOOXY,RINKOOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,UMOL/KG,
4,2,20.1854,2,34.66016077,2,233.9992476,1,208.2988923,1
5,2,20.1889,2,34.86693026,2,238.0882928,1,207.8951774,1
6,2,20.193,2,34.869131,2,236.4760058,1,207.8547319,1
7,2,20.1997,2,34.87013133,2,235.1971454,1,207.7818564,1
8,2,20.1958,2,34.8706315,2,236.311469,1,207.7965599,1
9,2,20.1975,2,34.8709316,2,235.6097934,1,207.9230538,1
10,2,20.1995,2,34.87103163,2,234.988645,1,207.8031725,1
11,2,20.2006,2,34.87113167,2,235.8269994,1,207.9113144,1
12,2,20.1985,2,34.87073153,2,235.1958396,1,207.9643068,1
13,2,20.1976,2,34.87133174,2,235.6198049,1,207.8777233,1
14,2,20.1975,2,34.8718319,2,235.8574692,1,207.8771102,1
15,2,20.1949,2,34.87193194,2,235.5945585,1,208.0454281,1
16,2,20.1969,2,34.87163184,2,235.4626678,1,208.3071723,1
17,2,20.198,2,34.87163184,2,236.2218008,1,208.5275327,1
18,2,20.2025,2,34.8709316,2,235.0561138,1,208.2177487,1
19,2,20.1998,2,34.87173187,2,236.0590051,1,208.2731149,1
20,2,20.2012,2,34.8715318,2,234.948599,1,208.3143601,1
21,2,20.2002,2,34.8718319,2,235.7725891,1,208.272992,1
22,2,20.2032,2,34.87163184,2,234.7196404,1,207.9030392,1
23,2,20.2015,2,34.872132,2,236.0102534,1,208.6908935,1
24,2,20.2041,2,34.87163184,2,234.4602119,1,208.0561304,1
25,2,20.2147,2,34.87193194,2,235.9828306,1,209.2911325,1
26,2,20.2135,2,34.872132,2,236.0498641,1,209.3171546,1
27,2,20.2154,2,34.872132,2,235.5749708,1,209.2908856,1
28,2,20.2042,2,34.87173187,2,234.6304074,1,209.1544609,1
29,2,20.2016,2,34.87133174,2,235.8322228,1,208.2659307,1
30,2,20.2048,2,34.8715318,2,235.844846,1,208.2990068,1
31,2,20.204,2,34.87163184,2,235.0752663,1,208.616566,1
32,2,20.2033,2,34.87133174,2,235.6398279,1,208.0603323,1
33,2,20.2036,2,34.8712317,2,235.6428749,1,208.4153009,1
34,2,20.2039,2,34.8715318,2,234.2625936,1,210.2531621,1
35,2,20.2032,2,34.87103163,2,235.4500446,1,209.540283,1
36,2,20.2056,2,34.87113167,2,236.0485583,1,208.8336602,1
