CTD,20150316FEGNRIFS
#ORIGINAL_FILE=\Report\C3345b.asc
#CTD_SAL ax+b   :a=1.0003361723921
#CTD_SAL ax+b   :b=-0.0131915369898792
# System UpLoad Time = Jan 27 2015 14:40:41
# NMEA Latitude = 33 44.95 N
# NMEA Longitude = 137 59.65 E
# Temperature SN = 1550
# Conductivity SN = 1244
# SBE43 Oxygen SN = 0357
# RINKO Oxygen SN = 0155
#1-5 dbar were removed because of error values.
NUMBER_HEADERS=10
EXPOCODE=49SO201501
SECT=138E
STNNBR=  C3345
CASTNO=2
DATE=20150127
TIME=0540
LATITUDE=33.74917
LONGITUDE=137.9942
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,RINKOOXY,RINKOOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,UMOL/KG,
6,2,15.3418,2,34.60614262,2,250.5321532,1,223.0065604,1
7,2,15.3405,2,34.63975391,2,251.8845764,1,222.9159473,1
8,2,15.3344,2,34.63945381,2,251.8871881,1,222.8982766,1
9,2,15.3367,2,34.63965388,2,252.1788275,1,222.8353326,1
10,2,15.3381,2,34.63975391,2,251.1032441,1,222.8307387,1
11,2,15.3295,2,34.63865354,2,251.2590752,1,222.917205,1
12,2,15.3124,2,34.63775324,2,250.2152674,1,222.678161,1
13,2,15.3135,2,34.63835344,2,250.405486,1,222.1999155,1
14,2,15.311,2,34.63765321,2,250.3715339,1,221.8196424,1
15,2,15.2974,2,34.63665287,2,249.5984719,1,221.7598311,1
16,2,15.294,2,34.6367529,2,247.8347066,1,221.3043062,1
17,2,15.2159,2,34.63035075,2,246.3160055,1,220.4977706,1
18,2,15.2162,2,34.63165119,2,246.1048934,1,218.5687774,1
19,2,15.1675,2,34.62794994,2,244.6545316,1,219.1304958,1
20,2,15.0802,2,34.62264816,2,239.0093509,1,218.0385333,1
21,2,14.9743,2,34.61994726,2,237.1855166,1,214.8574347,1
22,2,14.9682,2,34.62024736,2,237.8506285,1,212.9956607,1
23,2,14.9483,2,34.61864682,2,237.6325519,1,212.2637121,1
24,2,14.9441,2,34.61784655,2,236.7001764,1,211.4371004,1
