Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S853	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N1	NH1208	7	7	1	100um	na	800	1000	900		day	15850.65		47.0103165	-144.6739975
S854	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N2	NH1208	7	7	2	100um	na	600	800	700		day	16188.2		47.0103165	-144.6739975
S855	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N3	NH1208	7	7	3	100um	na	400	600	500		day	14254.011		47.0103165	-144.6739975
S856	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N4	NH1208	7	7	4	100um	na	200	400	300		day	11681.015		47.0103165	-144.6739975
S857	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N5	NH1208	7	7	5	100um	na	100	200	150		day	17196.226		47.0103165	-144.6739975
S858	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N6	NH1208	7	7	6	100um	na	50	100	75		day	18724.801		47.0103165	-144.6739975
S859	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N7	NH1208	7	7	7	100um	na	25	50	38		day	13939.108		47.0103165	-144.6739975
S860	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N8	NH1208	7	7	8	100um	na	0	25	13		day	13808.876		47.0103165	-144.6739975
S861	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N1	NH1208	7	8	1	100um	na	800	1000	900		night	17346.788		47.0103165	-144.6739975
S862	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N2	NH1208	7	8	2	100um	na	600	800	700		night	13255.366		47.0103165	-144.6739975
S863	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N3	NH1208	7	8	3	100um	na	500	600	550		night	15602.816		47.0103165	-144.6739975
S864	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N4	NH1208	7	8	4	100um	na	300	500	400		night	7334.071		47.0103165	-144.6739975
S865	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N5	NH1208	7	8	5	100um	na	100	300	200		night	15290.353		47.0103165	-144.6739975
S866	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N6	NH1208	7	8	6	100um	na	50	100	75		night	7833.255		47.0103165	-144.6739975
S867	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N7	NH1208	7	8	7	100um	na	25	50	38		night	16302.336		47.0103165	-144.6739975
S868	18S	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N8	NH1208	7	8	8	100um	na	0	25	13		night	14912.759		47.0103165	-144.6739975
S869	18S	rep1	BATS	Allen	Library-BB	Transition East	2	M11N1	NH1208	15	11	1	100um	na	800	1000	900		day	19113.509		43.04988	-138.1465175
S870	18S	rep1	BATS	Allen	Library-BB	Transition East	2	M11N2	NH1208	15	11	2	100um	na	600	800	700		day	10003.088		43.04988	-138.1465175
S871	18S	rep1	BATS	Allen	Library-BB	Transition East	2	M11N3	NH1208	15	11	3	100um	na	400	600	500		day	12263.129		43.04988	-138.1465175
S872	18S	rep1	BATS	Allen	Library-BB	Transition East	2	M11N4	NH1208	15	11	4	100um	na	200	400	300		day	7974.385		43.04988	-138.1465175
S873	18S	rep1	BATS	Allen	Library-BB	Transition East	2	M11N5	NH1208	15	11	5	100um	na	100	200	150		day	12909.594		43.04988	-138.1465175
