Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S701	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N1	NH1208	7	7	1	100um	na	800	1000	900		day	6283.278		47.0103165	-144.6739975
S702	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N2	NH1208	7	7	2	100um	na	600	800	700		day	5301.752		47.0103165	-144.6739975
S703	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N3	NH1208	7	7	3	100um	na	400	600	500		day	6683.337		47.0103165	-144.6739975
S704	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N4	NH1208	7	7	4	100um	na	200	400	300		day	10767.183		47.0103165	-144.6739975
S705	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N5	NH1208	7	7	5	100um	na	100	200	150		day	12353.11		47.0103165	-144.6739975
S706	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N6	NH1208	7	7	6	100um	na	50	100	75		day	12551.817		47.0103165	-144.6739975
S707	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N7	NH1208	7	7	7	100um	na	25	50	38		day	12659.354		47.0103165	-144.6739975
S708	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N8	NH1208	7	7	8	100um	na	0	25	13		day	12422.379		47.0103165	-144.6739975
S709	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N1	NH1208	7	8	1	100um	na	800	1000	900		night	11630.135		47.0103165	-144.6739975
S710	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N2	NH1208	7	8	2	100um	na	600	800	700		night	12916.719		47.0103165	-144.6739975
S711	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N3	NH1208	7	8	3	100um	na	500	600	550		night	6180.929		47.0103165	-144.6739975
S712	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N4	NH1208	7	8	4	100um	na	300	500	400		night	12878.117		47.0103165	-144.6739975
S713	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N5	NH1208	7	8	5	100um	na	100	300	200		night	10798.782		47.0103165	-144.6739975
S714	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N6	NH1208	7	8	6	100um	na	50	100	75		night	12982.978		47.0103165	-144.6739975
S715	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N7	NH1208	7	8	7	100um	na	25	50	38		night	15330.056		47.0103165	-144.6739975
S716	COI	rep1	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N8	NH1208	7	8	8	100um	na	0	25	13		night	11516.456		47.0103165	-144.6739975
S717	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M11N1	NH1208	15	11	1	100um	na	800	1000	900		day	9556.658		43.04988	-138.1465175
S718	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M11N2	NH1208	15	11	2	100um	na	600	800	700		day	10579.837		43.04988	-138.1465175
S719	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M11N3	NH1208	15	11	3	100um	na	400	600	500		day	12301.474		43.04988	-138.1465175
S720	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M11N4	NH1208	15	11	4	100um	na	200	400	300		day	11559.112		43.04988	-138.1465175
S721	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M11N5	NH1208	15	11	5	100um	na	100	200	150		day	12587.764		43.04988	-138.1465175
S722	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M11N6	NH1208	15	11	6	100um	na	50	100	75		day	12783.785		43.04988	-138.1465175
S723	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M11N7	NH1208	15	11	7	100um	na	25	50	38		day	8585.49		43.04988	-138.1465175
S724	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M11N8	NH1208	15	11	8	100um	na	0	25	13		day	13098.522		43.04988	-138.1465175
S725	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M12N1	NH1208	15	12	1	100um	na	800	1000	900		night	5808.102		43.04988	-138.1465175
S726	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M12N2	NH1208	15	12	2	100um	na	600	800	700		night	13239.33		43.04988	-138.1465175
S727	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M12N3	NH1208	15	12	3	100um	na	400	600	500		night	13672.195		43.04988	-138.1465175
S728	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M12N4	NH1208	15	12	4	100um	na	200	400	300		night	11106.577		43.04988	-138.1465175
S729	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M12N5	NH1208	15	12	5	100um	na	100	200	150		night	13729.252		43.04988	-138.1465175
S730	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M12N6	NH1208	15	12	6	100um	na	50	100	75		night	10225.798		43.04988	-138.1465175
S731	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M12N7	NH1208	15	12	7	100um	na	25	50	38		night	14386.058		43.04988	-138.1465175
S732	COI	rep1	BATS	Allen	Library-BB	Transition East	2	M12N8	NH1208	15	12	8	100um	na	0	25	13		night	11701.664		43.04988	-138.1465175
S733	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N1	NH1208	34	26	1	100um	na	800	1000	900		night	10904.444		33.5469525	-134.9893835
S734	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N2	NH1208	34	26	2	100um	na	600	800	700		night	13469.515		33.5469525	-134.9893835
S735	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N3	NH1208	34	26	3	100um	na	400	600	500		night	10451.362		33.5469525	-134.9893835
S736	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N4	NH1208	34	26	4	100um	na	200	400	300		night	12190.451		33.5469525	-134.9893835
S737	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N5	NH1208	34	26	5	100um	na	100	200	150		night	12556.205		33.5469525	-134.9893835
S738	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N6	NH1208	34	26	6	100um	na	50	100	75		night	12491.962		33.5469525	-134.9893835
S739	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N7	NH1208	34	26	7	100um	na	25	50	38		night	11690.131		33.5469525	-134.9893835
S740	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N8	NH1208	34	26	8	100um	na	0	25	13		night	9119.284		33.5469525	-134.9893835
S741	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N1	NH1208	34	25	1	100um	na	800	1000	900		day	10800.748		33.5469525	-134.9893835
S742	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N2	NH1208	34	25	2	100um	na	600	800	700		day	11581.5		33.5469525	-134.9893835
S743	COI	rep1	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N3	NH1208	34	25	3	100um	na	400	600	500		day	12997.298		33.5469525	-134.9893835
